Eval begun at 2025-04-03 15:35:54.498267
Episode 0 	 | Timestep 0 	 | Solver: primary 	 | Solver time: 0.073286 	 | Cost: 118.62939196820552
Episode 0 	 | Timestep 1 	 | Solver: primary 	 | Solver time: 0.094712 	 | Cost: 116.2510147448826
Episode 0 	 | Timestep 2 	 | Solver: primary 	 | Solver time: 0.557403 	 | Cost: 104.97867753948923
Episode 0 	 | Timestep 3 	 | Solver: primary 	 | Solver time: 0.061985 	 | Cost: 95.34634925605577
Episode 0 	 | Timestep 4 	 | Solver: primary 	 | Solver time: 0.069558 	 | Cost: 90.44539148782543
Episode 0 	 | Timestep 5 	 | Solver: primary 	 | Solver time: 0.05472 	 | Cost: 88.57150461291428
Episode 0 	 | Timestep 6 	 | Solver: primary 	 | Solver time: 0.047743 	 | Cost: 88.70215309395306
Episode 0 	 | Timestep 7 	 | Solver: primary 	 | Solver time: 0.049192 	 | Cost: 88.752213219033
Episode 0 	 | Timestep 8 	 | Solver: primary 	 | Solver time: 0.051591 	 | Cost: 88.8058679694564
Episode 0 	 | Timestep 9 	 | Solver: primary 	 | Solver time: 0.05792 	 | Cost: 88.85836387165484
Episode 0 	 | Timestep 10 	 | Solver: primary 	 | Solver time: 0.051899 	 | Cost: 88.90899787063532
Episode 0 	 | Timestep 11 	 | Solver: primary 	 | Solver time: 0.302177 	 | Cost: 88.95720045919802
Episode 0 	 | Timestep 12 	 | Solver: primary 	 | Solver time: 0.164173 	 | Cost: 89.00262455461106
Episode 0 	 | Timestep 13 	 | Solver: primary 	 | Solver time: 0.096551 	 | Cost: 89.04508319366906
Episode 0 	 | Timestep 14 	 | Solver: primary 	 | Solver time: 0.112653 	 | Cost: 89.08450784200485
Episode 0 	 | Timestep 15 	 | Solver: primary 	 | Solver time: 0.089055 	 | Cost: 89.12091582935822
Episode 0 	 | Timestep 16 	 | Solver: primary 	 | Solver time: 0.062081 	 | Cost: 89.14740271162773
Episode 0 	 | Timestep 17 	 | Solver: primary 	 | Solver time: 0.076918 	 | Cost: 88.67761310946057
Episode 0 	 | Timestep 18 	 | Solver: primary 	 | Solver time: 0.050025 	 | Cost: 87.67002565725139
Episode 0 	 | Timestep 19 	 | Solver: primary 	 | Solver time: 0.052292 	 | Cost: 86.18558486994691
Episode 0 	 | Timestep 20 	 | Solver: primary 	 | Solver time: 0.049426 	 | Cost: 84.39233045132974
Episode 0 	 | Timestep 21 	 | Solver: primary 	 | Solver time: 0.062295 	 | Cost: 82.54758042812564
Episode 0 	 | Timestep 22 	 | Solver: primary 	 | Solver time: 0.058003 	 | Cost: 80.95465833191892
Episode 0 	 | Timestep 23 	 | Solver: primary 	 | Solver time: 0.065224 	 | Cost: 79.54793424896582
Episode 0 	 | Timestep 24 	 | Solver: primary 	 | Solver time: 0.252589 	 | Cost: 78.34951507662151
Episode 0 	 | Timestep 25 	 | Solver: primary 	 | Solver time: 0.065997 	 | Cost: 76.62018966470266
Episode 0 	 | Timestep 26 	 | Solver: primary 	 | Solver time: 0.098089 	 | Cost: 74.40165750106253
Episode 0 	 | Timestep 27 	 | Solver: primary 	 | Solver time: 0.282359 	 | Cost: 72.09238501203126
Episode 0 	 | Timestep 28 	 | Solver: primary 	 | Solver time: 0.492586 	 | Cost: 69.92850075729422
Episode 0 	 | Timestep 29 	 | Solver: primary 	 | Solver time: 1.449508 	 | Cost: 68.333246636438
